p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	s_thomson_est	s_thomson_var	
1.441996e+01	1.000000e+01	1.000000e-02	3.000000e-01	12	4.500000e+00	3.973671e+00	5.564269e-01	2.635048e-01	3.109766e-01	5.000000e+00	7.222222e-01	3.750000e+00	1.687500e+00	
1.490548e+01	1.000000e+01	1.000000e-02	3.000000e-01	9	2.272727e+00	2.980253e+00	-9.636381e-01	9.561590e-02	7.850013e-01	8.000000e+00	8.472222e-01	1.333333e+00	2.916667e-01	
1.324158e+01	1.000000e+01	1.000000e-02	3.000000e-01	5	9.696970e-01	1.655696e+00	-1.527332e+00	9.950413e-02	6.346985e-01	5.000000e+00	5.277778e-01	5.000000e-01	5.555556e-02	
1.745331e+01	1.000000e+01	1.000000e-02	3.000000e-01	8	1.848485e+00	2.649114e+00	-1.206879e+00	1.213695e-01	-3.507942e-01	7.000000e+00	7.916667e-01	2.000000e+00	1.152778e+00	
1.769218e+01	1.000000e+01	1.000000e-02	3.000000e-01	21	6.393939e+00	6.953925e+00	-3.549048e-01	1.571184e-01	6.992196e-01	1.000000e+01	8.888889e-01	4.500000e+00	1.569444e+00	
1.982004e+01	1.000000e+01	1.000000e-02	3.000000e-01	27	9.954545e+00	8.940760e+00	5.073528e-01	2.797133e-01	2.222722e-01	1.000000e+01	8.750000e-01	8.583333e+00	4.020833e+00	
1.924072e+01	1.000000e+01	1.000000e-02	3.000000e-01	29	1.106061e+01	9.603039e+00	6.816720e-01	2.278887e-01	4.380158e-01	9.000000e+00	8.750000e-01	9.000000e+00	3.930556e+00	
1.434462e+01	1.000000e+01	1.000000e-02	3.000000e-01	14	3.742424e+00	4.635950e+00	-8.223043e-01	1.920734e-01	-3.544501e-01	9.000000e+00	8.333333e-01	3.916667e+00	2.201389e+00	
1.588951e+01	1.000000e+01	1.000000e-02	3.000000e-01	23	8.439394e+00	7.616203e+00	4.791545e-01	2.913735e-01	3.093385e-01	1.100000e+01	9.027778e-01	7.083333e+00	3.215278e+00	
1.002187e+01	1.000000e+01	1.000000e-02	3.000000e-01	3	1.378788e+00	9.934178e-01	1.272508e+00	4.444444e-01	8.056623e-01	3.000000e+00	6.527778e-01	9.166667e-01	2.847222e-01	
